date,location_key,new_persons_vaccinated,cumulative_persons_vaccinated,new_confirmed,mobility_workplaces
2022-07-01,US_IN,0.0,4215509.0,12.0,-32.0
2021-11-19,US_WA,10816.0,5442729.0,2.0,-5.0
2021-09-18,US_SD,1060.0,514725.0,0.0,-18.0
2021-06-22,US_TX,21498.0,13733578.0,1.0,-19.0
2021-03-10,US_MN,17916.0,1185323.0,7.0,-13.0
2021-12-20,US_LA,2005.0,2642610.0,103.0,-17.0
2021-03-17,US_TN,34615.0,1300220.0,5.0,-26.0
2021-12-31,US_GA,0.0,6505193.0,2317.0,-63.0
2021-09-30,US_TX,18089.0,17258083.0,8.0,-24.0
2021-11-04,US_MS,2045.0,1557735.0,14.0,-14.0
2021-06-09,US_KS,267.0,1384566.0,2.0,-22.0
2021-06-14,US_WI,7580.0,3053640.0,1.0,-27.0
2022-01-06,US_KS,0.0,2031921.0,0.0,-19.0
2022-02-01,US_CA,36642.0,31786339.0,309.0,-31.0
2021-03-21,US_KY,34347.0,1198585.0,1.0,-15.0
2021-07-27,US_TX,33536.0,14767162.0,5.0,-30.0
2021-10-11,US_LA,0.0,2433026.0,3.0,-18.0
2021-02-16,US_TX,67190.0,3037786.0,0.0,-84.0
2021-08-18,US_PA,12787.0,8670153.0,5.0,-27.0
2021-02-01,US_FL,27669.0,1683674.0,15.0,-22.0
2022-04-12,US_MN,225.0,4220995.0,21.0,6.0
2021-03-31,US_TX,140671.0,7476870.0,3.0,-23.0
2021-04-30,US_AR,4241.0,1071773.0,0.0,-11.0
2021-11-25,US_CO,0.0,4085143.0,12.0,-81.0
2022-04-30,US_GA,255.0,6937572.0,0.0,-13.0
2021-10-25,US_TX,8964.0,17688183.0,0.0,-18.0
2021-11-28,US_GA,0.0,6223181.0,0.0,-15.0
2021-09-16,US_IN,5796.0,3455386.0,4092.0,-11.0
2021-01-27,US_TX,33927.0,1648575.0,18.0,-23.0
2021-05-01,US_MS,328.0,925776.0,0.0,-14.0
2021-10-18,US_GA,488.0,5949745.0,1.0,-6.0
2022-04-30,US_AL,542.0,3074526.0,0.0,-5.0
2021-01-30,US_MN,36321.0,376632.0,0.0,-8.0
2021-07-13,US_TX,21538.0,14285663.0,2.0,-46.0
2021-08-31,US_NJ,8839.0,6211130.0,123.0,-38.0
2021-08-24,US_PA,9502.0,8766124.0,49.0,-19.0
2021-07-29,US_TX,56090.0,14866768.0,14.0,-32.0
2022-01-24,US_TX,13181.0,20082707.0,0.0,-17.0
2021-07-03,US_GA,23191.0,4637004.0,0.0,-19.0
2022-02-24,US_AR,572.0,1981905.0,1.0,-26.0
2021-05-17,US_TX,0.0,11881680.0,0.0,-18.0
